name,latitude,longitude,description
JD_Cabello,10.4650061,-67.9838145,Puerto Cabello Venezuela
Steambot_Wreck,10.4650061,-67.9838145,Everett Washington USA
JD_NYC,40.5575597,-74.2167493,New York City New York USA
JD_Arthur,40.5575597,-74.2167493,New York City New York USA
JD_Arthur_2,40.5575597,-74.2167493,New York City New York USA
JD_Arthur_3,40.5591696,-74.2140374,New York City New York USA
JD_Cornwall,40.5591696,-74.2140374,New York City New York USA
JD_Arthur_4,40.5591696,-74.2140374,New York City New York USA
JD_Cornwall,40.5591696,-74.2140374,New York City New York USA
Korabel_Admiral,50.37014106,30.57095932,Kiev Ucraina
Bendje_Wreck,50.37013905,30.57096562,Port-Gentil Gabon
London_wreck,51.3618974,0.7775909,London United Kingdom
London_wreck_2,51.36323323,0.77928542,London United Kingdom
Bengasi_wreck,32.11496353,20.05115456,Bengasi Iran
Garden_Island_wreck,-34.81169863,138.53041893,Adelaide Australia
Garden_Island_wreck_2,-34.81166955,138.53034209,Adelaide Australia
Garden_Island_wreck_3,-34.81172194,138.53045745,Adelaide Australia
Garden_Island_wreck_4,-34.81149779,138.52962689,Adelaide Australia
Garden_Island_wreck_5,-34.81162134,138.52997755,Adelaide Australia
Makassar_Wreck,-5.10556591,119.42533402,Maluku Indonesia
Puerto_Cabello,10.46520738,-67.98366805,Puerto Cabello Venezuela
Puerto_Cabello_2,10.46612266,-67.98332774,Puerto Cabello Venezuela
Cagliari_Wreck,39.20645291,9.10181894,Cagliari Italy
Shaker_Wreck,48.0256222,-122.2241833,Everett Washington USA
Shaker_Wreck_2,48.02422688,-122.21878016,Everett Washington USA
Shaker_Wreck_3,48.02452217,-122.21979161,Everett Washington USA
Shaker_Wreck_4,48.02470269,-122.2206195,Everett Washington USA
Shaker_Wreck_5,48.02501667,-122.22204427,Everett Washington USA
Shaker_Wreck_6,48.02534714,-122.22304153,Everett Washington USA
Spencer_Wreck,47.98968946,-122.15278625,Everett Washington USA
SF_Wreck,38.0317255,-121.84856836,San Francisco California USA
NY_Wreck,40.55602493,-74.2197373,New York City New York USA
NY_Wreck_2,40.55573967,-74.22034499,New York City New York USA
NY_Wreck_3,40.55618457,-74.21791783,New York City New York USA
NY_Wreck_4,40.55679434,-74.21630846,New York City New York USA
NY_Wreck_5,40.55785246,-74.21535031,New York City New York USA
NY_Wreck_6,40.55776944,-74.21514451,New York City New York USA
NY_Wreck_7,40.55823527,-74.21439557,New York City New York USA
NY_Wreck_8,40.55901162,-74.21291369,New York City New York USA
Engel_Wreck,41.15938632,-73.87234403,Ossining New York USA
Donahue_Wreck,41.44382497,-73.99792021,Cornawall New York USA
Corigliano_Calabro_Wreck,39.6639391,16.52244061,Corigliano Calabro Italy
Troms_Wreck,69.66825123,19.019353,Troms Norway
Vrag_Wreck,66.7881338,13.1239682,Vrag Norway
Trondelag,64.5832726,10.8992244,Trondelag Norway
Fevag,63.6906276,9.8303949,Fevag Norway
Rogaland_Wreck,59.2996271,5.4055355,,Rogaland Norway
Cement_ship,55.9912567,11.2998059,Denmark
Wrak_Wreck,54.61229324,18.77700574,Poland
Wrak_II,54.61266925,18.77820047,Poland
Oblast,60.0697861,26.9535558,Oblast Russia
San_Tome,0.4121433,6.6640099,San Tome and Principe
Golfo_Guinea,-0.6845517,8.7763179,Golfo Guinea Guinea
Benjde,-0.6921177,8.7741049,Benjde Guinea Guinea
Angola,-6.1116707,12.3205179,Angola Angola
Angolan_Wreck,-8.5649857,13.3695459,Angola Angola
Angolan_Wreck_2,-8.6258857,13.4002849,Angola Angola
Angolan_Wreck_3,-8.6329584,13.4043964,Angola Angola
Angolan_Wreck_4,-8.6414387,13.4113659,Angola Angola
Lobito,-12.3519947,13.5597719,Lobito Angola
Caota,-12.5904967,13.2640429,Caota Angola
Zelia,-22.24160741,14.35338258,Zelia Namibia
Shawnee_Wreck,-23.6731958,14.5032359,Namibia
Otavi_Shipwreck,-25.732425,14.8326188,Namibia
Karas,-25.7324178,14.8326659,Karas Namibia
Sudafrica_Wreck,-25.7324178,14.8326659,Sudafrica
